1/0: cDist = 9; avg = 9
11/6: cDist = 2.23607; avg = 11.2593
12/6: cDist = 4.24264; avg = 7.75096
13/6: cDist = 14.2127; avg = 10.9818
14/6: cDist = 46.0977; avg = 28.5398
15/6: cDist = 14.1421; avg = 21.341
16/6: cDist = 45.3542; avg = 33.3476
17/6: cDist = 13.6015; avg = 23.4745
18/6: cDist = 45.607; avg = 34.5408
19/6: cDist = 13.8924; avg = 24.2166
20/6: cDist = 42.0595; avg = 33.138
21/6: cDist = 13.6015; avg = 23.3698
22/6: cDist = 50; avg = 36.6849
0/7: cDist = 6.7082; avg = 21.6965
1/7: cDist = 4.24264; avg = 12.9696
2/7: cDist = 2.23607; avg = 7.60283
3/7: cDist = 14.0357; avg = 10.8192
4/7: cDist = 3.16228; avg = 6.99076
5/7: cDist = 4.12311; avg = 5.55693
6/7: cDist = 6; avg = 5.77847
8/7: cDist = 10.0499; avg = 7.91417
9/7: cDist = 5.09902; avg = 6.5066
10/7: cDist = 43.0465; avg = 24.7765
11/7: cDist = 7.28011; avg = 16.0283
12/7: cDist = 9.48683; avg = 12.7576
13/7: cDist = 10.2956; avg = 11.5266
14/7: cDist = 51.9711; avg = 31.7489
15/7: cDist = 10.7703; avg = 21.2596
16/7: cDist = 51.1957; avg = 36.2277
17/7: cDist = 11.1803; avg = 23.704
18/7: cDist = 51.4198; avg = 37.5619
19/7: cDist = 12.0416; avg = 24.8018
20/7: cDist = 47.8017; avg = 36.3017
21/7: cDist = 13.1529; avg = 24.7273
22/7: cDist = 55.7853; avg = 40.2563
0/8: cDist = 5.65685; avg = 22.9566
1/8: cDist = 13.6015; avg = 18.279
2/8: cDist = 9.48683; avg = 13.8829
3/8: cDist = 4.47214; avg = 9.17753
4/8: cDist = 7.28011; avg = 8.22882
5/8: cDist = 14.1421; avg = 11.1855
6/8: cDist = 4.12311; avg = 7.65429
7/8: cDist = 10.0499; avg = 8.85208
9/8: cDist = 5; avg = 6.92604
10/8: cDist = 33.0151; avg = 19.9706
11/8: cDist = 3.16228; avg = 11.5664
12/8: cDist = 2.23607; avg = 6.90125
13/8: cDist = 17; avg = 11.9506
14/8: cDist = 41.9762; avg = 26.9634
15/8: cDist = 16.6433; avg = 21.8034
16/8: cDist = 41.2311; avg = 31.5172
17/8: cDist = 15.6205; avg = 23.5689
18/8: cDist = 41.4849; avg = 32.5269
19/8: cDist = 15.5563; avg = 24.0416
20/8: cDist = 37.9473; avg = 30.9945
21/8: cDist = 14.4222; avg = 22.7083
22/8: cDist = 45.8803; avg = 34.2943
0/9: cDist = 4.12311; avg = 19.2087
1/9: cDist = 8.94427; avg = 14.0765
2/9: cDist = 5; avg = 9.53825
3/9: cDist = 9.21954; avg = 9.37889
4/9: cDist = 2.82843; avg = 6.10366
5/9: cDist = 9.21954; avg = 7.6616
6/9: cDist = 1.41421; avg = 4.53791
7/9: cDist = 5.09902; avg = 4.81846
8/9: cDist = 5; avg = 4.90923
10/9: cDist = 38.0132; avg = 21.4612
11/9: cDist = 2.23607; avg = 11.8486
12/9: cDist = 4.47214; avg = 8.16038
13/9: cDist = 12.8062; avg = 10.4833
14/9: cDist = 46.8722; avg = 28.6777
15/9: cDist = 12.7279; avg = 20.7028
16/9: cDist = 46.0977; avg = 33.4003
17/9: cDist = 12.2066; avg = 22.8034
18/9: cDist = 46.3249; avg = 34.5642
19/9: cDist = 12.53; avg = 23.5471
20/9: cDist = 42.72; avg = 33.1335
21/9: cDist = 12.3693; avg = 22.7514
22/9: cDist = 50.6952; avg = 36.7233
0/10: cDist = 37.3363; avg = 37.0298
1/10: cDist = 46.2709; avg = 41.6504
2/10: cDist = 42.19; avg = 41.9202
3/10: cDist = 29.1548; avg = 35.5375
4/10: cDist = 40.1123; avg = 37.8249
5/10: cDist = 47.0956; avg = 42.4603
6/10: cDist = 37.054; avg = 39.7571
7/10: cDist = 43.0465; avg = 41.4018
8/10: cDist = 33.0151; avg = 37.2085
9/10: cDist = 38.0132; avg = 37.6108
11/10: cDist = 36; avg = 36.8054
12/10: cDist = 34.0147; avg = 35.4101
13/10: cDist = 48.5077; avg = 41.9589
14/10: cDist = 11.3137; avg = 26.6363
15/10: cDist = 47.676; avg = 37.1561
16/10: cDist = 11.4018; avg = 24.2789
17/10: cDist = 45.8912; avg = 35.0851
18/10: cDist = 12.2066; avg = 23.6458
19/10: cDist = 45.1221; avg = 34.3839
20/10: cDist = 11.4018; avg = 22.8928
21/10: cDist = 42.45; avg = 32.6714
22/10: cDist = 16.2788; avg = 24.4751
0/11: cDist = 5.09902; avg = 14.7871
1/11: cDist = 11.1803; avg = 12.9837
2/11: cDist = 7.2111; avg = 10.0974
3/11: cDist = 7.61577; avg = 8.85659
4/11: cDist = 5; avg = 6.92829
5/11: cDist = 11.4018; avg = 9.16502
6/11: cDist = 2.23607; avg = 5.70055
7/11: cDist = 7.28011; avg = 6.49033
8/11: cDist = 3.16228; avg = 4.8263
9/11: cDist = 2.23607; avg = 3.53119
10/11: cDist = 36; avg = 19.7656
12/11: cDist = 2.23607; avg = 11.0008
13/11: cDist = 13.8924; avg = 12.4466
14/11: cDist = 44.7214; avg = 28.584
15/11: cDist = 13.6015; avg = 21.0927
16/11: cDist = 43.9318; avg = 32.5123
17/11: cDist = 12.7279; avg = 22.6201
18/11: cDist = 44.1475; avg = 33.3838
19/11: cDist = 12.8062; avg = 23.095
20/11: cDist = 40.5216; avg = 31.8083
21/11: cDist = 12.083; avg = 21.9457
22/11: cDist = 48.5077; avg = 35.2267
0/12: cDist = 6.7082; avg = 20.9675
1/12: cDist = 13.4164; avg = 17.1919
